epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,89.1005,1.6937,1.48998,1.12175,0.27678,0.33486,0.2519,0.11473,1.88255,1.62539,1.18496,0.000990365,0.000990365,0.000990365
43,91.0345,1.68075,1.50382,1.12828,0.25383,0.32544,0.23244,0.10209,1.95798,1.69976,1.22913,0.000973861,0.000973861,0.000973861
44,92.9347,1.73283,1.48368,1.15277,0.30229,0.35158,0.25377,0.11606,1.89866,1.69312,1.21653,0.000957358,0.000957358,0.000957358
45,94.785,1.65701,1.43245,1.15317,0.31975,0.39788,0.27748,0.12863,1.881,1.63303,1.21389,0.000940855,0.000940855,0.000940855
46,96.7257,1.66193,1.43355,1.12633,0.3378,0.3727,0.28671,0.13049,1.85545,1.57225,1.20381,0.000924352,0.000924352,0.000924352
47,98.7078,1.64562,1.42523,1.1111,0.26582,0.41189,0.27463,0.12579,1.8548,1.59559,1.20215,0.000907848,0.000907848,0.000907848
48,100.595,1.66019,1.45807,1.14053,0.29307,0.39854,0.26718,0.12149,1.86808,1.60477,1.20904,0.000891345,0.000891345,0.000891345
49,102.531,1.64665,1.44527,1.13878,0.37832,0.34457,0.28763,0.12775,1.89551,1.57419,1.22352,0.000874842,0.000874842,0.000874842
50,104.693,1.7312,1.46541,1.14115,0.35343,0.32863,0.27191,0.12391,1.87837,1.5955,1.20754,0.000858338,0.000858338,0.000858338
51,106.64,1.66526,1.42288,1.11482,0.2585,0.34169,0.24518,0.10938,1.9196,1.66597,1.21734,0.000841835,0.000841835,0.000841835
52,108.59,1.6445,1.41809,1.11658,0.23869,0.36718,0.24551,0.11188,1.88484,1.67856,1.208,0.000825332,0.000825332,0.000825332
53,110.576,1.63998,1.42362,1.11486,0.26284,0.37485,0.2503,0.11535,1.87132,1.64928,1.20646,0.000808828,0.000808828,0.000808828
54,112.484,1.62631,1.43218,1.12603,0.27311,0.3831,0.25973,0.12029,1.86619,1.6116,1.19916,0.000792325,0.000792325,0.000792325
55,114.468,1.71224,1.43913,1.12041,0.3351,0.3503,0.28442,0.12771,1.88637,1.56889,1.20726,0.000775822,0.000775822,0.000775822
56,116.453,1.65817,1.4259,1.11414,0.34373,0.36562,0.29115,0.13143,1.87277,1.57855,1.20249,0.000759318,0.000759318,0.000759318
57,118.398,1.60185,1.38777,1.11292,0.31183,0.35984,0.26525,0.11706,1.91026,1.62084,1.22137,0.000742815,0.000742815,0.000742815
58,120.285,1.65916,1.46068,1.14375,0.30553,0.34601,0.25808,0.11538,1.8905,1.6148,1.2079,0.000726312,0.000726312,0.000726312
59,122.468,1.65323,1.39291,1.11849,0.24218,0.35954,0.24193,0.10206,1.99958,1.65722,1.23896,0.000709809,0.000709809,0.000709809
60,124.367,1.65151,1.40736,1.13724,0.28678,0.33889,0.26055,0.11638,1.89295,1.65023,1.20469,0.000693305,0.000693305,0.000693305
61,126.35,1.65819,1.39916,1.11288,0.3128,0.35875,0.27632,0.12496,1.87319,1.6488,1.20787,0.000676802,0.000676802,0.000676802
