epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,97.6662,1.70173,1.4988,1.11792,0.23331,0.38184,0.2324,0.10337,1.92369,1.67472,1.18866,0.000703961,0.000703961,0.000703961
43,99.6536,1.68766,1.50494,1.12376,0.2696,0.30277,0.23005,0.10257,1.91514,1.69897,1.19953,0.000686277,0.000686277,0.000686277
44,101.591,1.73237,1.48088,1.15187,0.24307,0.36423,0.22359,0.09968,1.93559,1.73983,1.21682,0.000668593,0.000668593,0.000668593
45,103.715,1.66362,1.42947,1.15363,0.27856,0.34505,0.2261,0.10481,1.87807,1.74524,1.20298,0.000650909,0.000650909,0.000650909
46,106.491,1.66049,1.43476,1.12406,0.32512,0.38076,0.26431,0.11949,1.88876,1.63517,1.20088,0.000633226,0.000633226,0.000633226
47,109.308,1.65178,1.43807,1.10991,0.35914,0.32161,0.27796,0.12483,1.87488,1.58963,1.18925,0.000615542,0.000615542,0.000615542
48,111.248,1.66668,1.46846,1.13072,0.25892,0.37765,0.24046,0.10994,1.86322,1.6627,1.19168,0.000597858,0.000597858,0.000597858
49,113.187,1.64757,1.45309,1.14013,0.24614,0.36179,0.2266,0.10605,1.82969,1.68429,1.18685,0.000580174,0.000580174,0.000580174
50,115.18,1.73309,1.47266,1.14374,0.26754,0.36262,0.23396,0.10829,1.84252,1.62001,1.18059,0.00056249,0.00056249,0.00056249
51,117.17,1.64923,1.41351,1.10631,0.26481,0.35744,0.24031,0.10354,1.92713,1.64776,1.20136,0.000544806,0.000544806,0.000544806
52,119.165,1.65701,1.42833,1.11146,0.29154,0.33457,0.24031,0.10415,1.91687,1.68992,1.20203,0.000527122,0.000527122,0.000527122
53,121.347,1.64115,1.42443,1.10706,0.21837,0.37357,0.23305,0.10649,1.86544,1.70381,1.18864,0.000509438,0.000509438,0.000509438
54,123.277,1.6181,1.42042,1.11656,0.23762,0.39226,0.23335,0.10917,1.85461,1.67769,1.18664,0.000491755,0.000491755,0.000491755
55,125.259,1.71698,1.42525,1.12073,0.27204,0.38027,0.24466,0.11239,1.86979,1.65612,1.19621,0.000474071,0.000474071,0.000474071
56,127.201,1.66946,1.42142,1.11703,0.30448,0.37424,0.27109,0.1231,1.89045,1.59433,1.1956,0.000456387,0.000456387,0.000456387
57,129.097,1.60685,1.39629,1.10878,0.3117,0.37612,0.28282,0.12848,1.87336,1.58073,1.18989,0.000438703,0.000438703,0.000438703
58,131.032,1.65986,1.44766,1.13144,0.33466,0.36607,0.27301,0.12536,1.86903,1.60924,1.19717,0.000421019,0.000421019,0.000421019
59,132.984,1.66232,1.39119,1.12271,0.28268,0.38113,0.25541,0.11526,1.88182,1.61581,1.19952,0.000403335,0.000403335,0.000403335
60,134.976,1.64983,1.38613,1.14134,0.28844,0.34186,0.25527,0.11333,1.87521,1.60827,1.19194,0.000385651,0.000385651,0.000385651
61,136.969,1.64498,1.38668,1.10573,0.28629,0.35516,0.25132,0.1114,1.86608,1.6369,1.18713,0.000367967,0.000367967,0.000367967
62,138.976,1.61302,1.39773,1.10794,0.28775,0.34705,0.25261,0.11592,1.84486,1.64405,1.18594,0.000350284,0.000350284,0.000350284
63,141.345,1.6286,1.4022,1.09669,0.27245,0.36891,0.25207,0.11467,1.84847,1.66694,1.19576,0.0003326,0.0003326,0.0003326
64,143.557,1.64644,1.37358,1.10802,0.25641,0.39175,0.25416,0.11735,1.84161,1.6419,1.18709,0.000314916,0.000314916,0.000314916
65,145.549,1.60313,1.35806,1.11673,0.27453,0.38044,0.26125,0.12051,1.85668,1.60116,1.18721,0.000297232,0.000297232,0.000297232
66,147.553,1.63777,1.34266,1.10331,0.2901,0.37952,0.2677,0.12274,1.85009,1.60595,1.18603,0.000279548,0.000279548,0.000279548
67,150.306,1.59458,1.36081,1.08099,0.28806,0.39835,0.27006,0.12341,1.8638,1.6086,1.1929,0.000261864,0.000261864,0.000261864
68,152.332,1.61703,1.38189,1.09773,0.29647,0.40496,0.27338,0.12477,1.86843,1.60418,1.1937,0.00024418,0.00024418,0.00024418
69,154.362,1.60033,1.36807,1.10431,0.31147,0.39873,0.2797,0.12828,1.85177,1.57517,1.18547,0.000226497,0.000226497,0.000226497
70,156.361,1.58158,1.36287,1.10315,0.33017,0.37007,0.27469,0.12595,1.87569,1.57194,1.19323,0.000208813,0.000208813,0.000208813
71,160.771,1.62909,1.69066,1.14597,0.30513,0.37708,0.26032,0.1183,1.89556,1.59923,1.20359,0.000191129,0.000191129,0.000191129
72,162.72,1.64907,1.59653,1.15182,0.30591,0.37907,0.26392,0.12008,1.88514,1.60662,1.20113,0.000173445,0.000173445,0.000173445
73,164.673,1.6078,1.48649,1.12319,0.33118,0.37277,0.26841,0.12325,1.85381,1.60772,1.18987,0.000155761,0.000155761,0.000155761
74,166.901,1.6051,1.48503,1.12348,0.33357,0.3723,0.26983,0.12703,1.83164,1.61027,1.18162,0.000138077,0.000138077,0.000138077
75,169.116,1.56546,1.44239,1.1019,0.34427,0.38171,0.2734,0.12845,1.83313,1.61137,1.18267,0.000120393,0.000120393,0.000120393
76,171.338,1.58544,1.4675,1.12069,0.35391,0.36162,0.27355,0.12867,1.8322,1.61126,1.18321,0.000102709,0.000102709,0.000102709
77,173.335,1.59008,1.45081,1.13501,0.34632,0.36617,0.26997,0.12697,1.82817,1.62586,1.1844,8.50255e-05,8.50255e-05,8.50255e-05
78,175.669,1.5908,1.43343,1.12477,0.33042,0.3631,0.26169,0.123,1.82339,1.65044,1.18403,6.73416e-05,6.73416e-05,6.73416e-05
79,177.697,1.56324,1.40265,1.1147,0.29769,0.37701,0.25702,0.12033,1.82511,1.66082,1.18482,4.96578e-05,4.96578e-05,4.96578e-05
80,179.717,1.60377,1.43738,1.12743,0.29707,0.37296,0.25493,0.11977,1.82683,1.66627,1.18597,3.19739e-05,3.19739e-05,3.19739e-05
