epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.61218,2.37439,3.88559,1.75459,0.01246,0.06418,0.01052,0.00539,1.93939,3.73754,1.40863,0.00011669,0.00011669,0.00011669
2,11.7567,2.10311,3.57125,1.42738,0.02516,0.14258,0.01657,0.00888,1.88889,3.58511,1.31519,0.000245099,0.000245099,0.000245099
3,14.1595,1.95558,2.96937,1.30742,0.02742,0.12833,0.01781,0.00807,2.02905,3.43587,1.38214,0.000368227,0.000368227,0.000368227
4,17.2634,2.00194,2.65067,1.24945,0.06172,0.37574,0.09007,0.04022,1.98327,3.0163,1.2947,0.000486074,0.000486074,0.000486074
5,19.3158,1.94326,2.34089,1.21663,0.16911,0.19803,0.08195,0.03036,2.19685,3.01504,1.36386,0.00059864,0.00059864,0.00059864
6,21.6923,1.94733,2.24641,1.2123,0.24062,0.23763,0.12909,0.05081,2.03899,2.5569,1.28942,0.000705924,0.000705924,0.000705924
7,23.7299,1.93835,2.10225,1.21487,0.16726,0.23423,0.11452,0.04463,2.13223,2.48527,1.39489,0.000807928,0.000807928,0.000807928
8,26.3437,1.90101,2.00993,1.19464,0.20271,0.27335,0.15387,0.0613,2.11405,2.35575,1.3612,0.000904651,0.000904651,0.000904651
9,28.3753,1.87299,1.97535,1.18609,0.16176,0.2348,0.13558,0.04917,2.21098,2.27782,1.33613,0.000996093,0.000996093,0.000996093
10,31.0459,1.83533,1.93054,1.17993,0.11371,0.32035,0.08028,0.02916,2.16739,2.8364,1.34389,0.00108225,0.00108225,0.00108225
11,33.4592,1.86996,1.91401,1.16808,0.1641,0.36336,0.16213,0.05869,2.20182,2.10434,1.32423,0.00116313,0.00116313,0.00116313
12,35.6449,1.83419,1.89255,1.14828,0.26147,0.30405,0.19404,0.07569,2.1023,2.00296,1.29143,0.00123873,0.00123873,0.00123873
13,37.9123,1.87761,1.83604,1.17508,0.21758,0.32282,0.18386,0.07558,2.03938,2.0984,1.2703,0.00127092,0.00127092,0.00127092
14,40.0207,1.84157,1.7254,1.16201,0.20295,0.33404,0.18262,0.07275,2.20933,1.9727,1.31861,0.00123791,0.00123791,0.00123791
15,42.2789,1.87878,1.7431,1.19083,0.21484,0.28336,0.21091,0.08903,2.02374,1.79978,1.24587,0.00120491,0.00120491,0.00120491
16,44.26,1.86914,1.74852,1.17509,0.25015,0.29393,0.18233,0.07201,2.07707,2.10532,1.27418,0.0011719,0.0011719,0.0011719
17,46.6758,1.91306,1.75249,1.20044,0.24386,0.2799,0.18493,0.07964,1.95702,2.13284,1.23116,0.00113889,0.00113889,0.00113889
18,48.548,1.81075,1.72638,1.19173,0.25307,0.33133,0.22,0.09506,1.96949,1.88684,1.20779,0.00110589,0.00110589,0.00110589
19,50.4847,1.76808,1.6914,1.15897,0.26352,0.36816,0.22122,0.09494,1.91609,1.79911,1.19074,0.00107288,0.00107288,0.00107288
20,52.4132,1.7881,1.64359,1.15105,0.23216,0.38789,0.19904,0.08607,1.92305,1.8611,1.19602,0.00103987,0.00103987,0.00103987
21,54.2914,1.7267,1.64926,1.14423,0.27642,0.32095,0.20235,0.08877,1.93394,2.10078,1.19655,0.00100687,0.00100687,0.00100687
22,56.1912,1.76331,1.60505,1.1525,0.31582,0.35192,0.23747,0.10031,1.90906,2.05028,1.17819,0.000973861,0.000973861,0.000973861
23,58.7153,1.78588,1.62869,1.16355,0.30914,0.3751,0.24488,0.10564,1.9181,1.85367,1.18777,0.000940855,0.000940855,0.000940855
24,60.6944,1.7783,1.5761,1.15557,0.28769,0.35334,0.22353,0.09965,1.9371,1.75016,1.20143,0.000907848,0.000907848,0.000907848
25,63.2034,1.77266,1.58859,1.14942,0.24637,0.38902,0.23735,0.10628,1.90023,1.69043,1.18071,0.000874842,0.000874842,0.000874842
26,66.3024,1.75713,1.57714,1.13091,0.2695,0.4002,0.24893,0.11308,1.88072,1.66257,1.17954,0.000841835,0.000841835,0.000841835
27,68.3915,1.78261,1.63263,1.15181,0.31257,0.33774,0.2445,0.11183,1.87671,1.71205,1.19711,0.000808828,0.000808828,0.000808828
28,70.3261,1.71215,1.53213,1.15266,0.2739,0.37266,0.24468,0.11208,1.87112,1.68757,1.19776,0.000775822,0.000775822,0.000775822
29,72.301,1.70619,1.57124,1.1424,0.29815,0.34558,0.24593,0.11389,1.8652,1.64288,1.18541,0.000742815,0.000742815,0.000742815
30,74.2304,1.70484,1.51808,1.15909,0.30968,0.34765,0.25176,0.11484,1.88449,1.64597,1.1845,0.000709809,0.000709809,0.000709809
