epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.53872,0,119.191,0,0,0,0,0,0,248.183,0,0.00010003,0.00010003,0.00010003
2,11.1255,0,115.811,0,0,0,0,0,0,247.671,0,0.000210106,0.000210106,0.000210106
3,12.7384,0,105.993,0,0,0,0,0,0,247.395,0,0.000315655,0.000315655,0.000315655
4,14.7749,0,100.417,0,0,0,0,0,0,242.431,0,0.000416676,0.000416676,0.000416676
5,16.2969,0,95.045,0,0,0,0,0,0,230.313,0,0.000513171,0.000513171,0.000513171
6,17.6121,0,91.6286,0,0,0,0,0,0,207.48,0,0.000605139,0.000605139,0.000605139
7,18.8826,0,88.6576,0,0,0,0,0,0,180.592,0,0.000692579,0.000692579,0.000692579
8,20.1659,0,84.3864,0,0,0,0,0,0,143.134,0,0.000775493,0.000775493,0.000775493
9,21.5931,0,81.2582,0,0,0,0,0,0,107.955,0,0.000853879,0.000853879,0.000853879
10,22.8324,0,78.5204,0,0,0,0,0,0,119.495,0,0.000927738,0.000927738,0.000927738
11,24.1301,0,75.9573,0,0,0,0,0,0,4135.52,0,0.00099707,0.00099707,0.00099707
12,25.405,0,73.8865,0,0,0,0,0,0,25060.5,0,0.00106188,0.00106188,0.00106188
13,26.6458,0,71.5472,0,0,0,0,0,0,120.409,0,0.00108947,0.00108947,0.00108947
14,27.9189,0,69.3793,0,0,0,0,0,0,491.584,0,0.00106118,0.00106118,0.00106118
15,29.1719,0,67.3731,0,0,0,0,0,0,2024.92,0,0.00103288,0.00103288,0.00103288
16,30.4602,0,65.196,0,0,0,0,0,0,410.021,0,0.00100459,0.00100459,0.00100459
17,31.8844,0,64.7298,0,0,0,0,0,0,101.418,0,0.000976293,0.000976293,0.000976293
18,33.1258,0,61.9218,0,0,0,0,0,0,5968.47,0,0.000947999,0.000947999,0.000947999
19,34.4453,0,60.1354,0,0,0,0,0,0,15584.3,0,0.000919704,0.000919704,0.000919704
20,35.7676,0,58.262,0,0,0,0,0,0,167.057,0,0.00089141,0.00089141,0.00089141
21,37.0845,0,56.5005,0,0,0,0,0,0,689.951,0,0.000863116,0.000863116,0.000863116
22,38.3767,0,54.835,0,0,0,0,0,0,208.803,0,0.000834822,0.000834822,0.000834822
23,39.67,0,53.225,0,0,0,0,0,0,182.957,0,0.000806528,0.000806528,0.000806528
24,40.9276,0,51.7618,0,0,0,0,0,0,133.336,0,0.000778233,0.000778233,0.000778233
25,42.1869,0,50.2685,0,0,0,0,0,0,107.504,0,0.000749939,0.000749939,0.000749939
26,43.4441,0,48.9921,0,0,0,0,0,0,107.633,0,0.000721645,0.000721645,0.000721645
27,44.8608,0,47.8541,0,0,0,0,0,0,103.448,0,0.000693351,0.000693351,0.000693351
28,46.097,0,46.5475,0,0,0,0,0,0,98.7075,0,0.000665057,0.000665057,0.000665057
29,47.3361,0,45.4265,0,0,0,0,0,0,97.4963,0,0.000636762,0.000636762,0.000636762
30,48.6104,0,44.315,0,0,0,0,0,0,96.4076,0,0.000608468,0.000608468,0.000608468
31,49.8666,0,43.2579,0,0,0,0,0,0,94.7227,0,0.000580174,0.000580174,0.000580174
32,51.3449,0,42.414,0,0,0,0,0,0,92.1054,0,0.00055188,0.00055188,0.00055188
33,52.9046,0,41.5953,0,0,0,0,0,0,91.5443,0,0.000523586,0.000523586,0.000523586
34,54.1289,0,40.6957,0,0,0,0,0,0,91.98,0,0.000495291,0.000495291,0.000495291
35,55.6798,0,39.88,0,0,0,0,0,0,88.9127,0,0.000466997,0.000466997,0.000466997
36,57.2991,0,39.1258,0,0,0,0,0,0,84.7256,0,0.000438703,0.000438703,0.000438703
