epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5799,2.12296,3.50911,1.01809,0.83051,0.43478,0.38716,0.18966,1.63251,3.18561,0.87044,0.000544553,0.000544553,0.000544553
2,40.5401,1.93968,2.21514,0.92362,0.92168,0.41304,0.51624,0.30827,1.51374,1.80792,0.86744,0.000964068,0.000964068,0.000964068
3,56.4817,1.98868,1.97101,0.93054,0.87907,0.4058,0.5684,0.28979,1.6588,1.66606,0.87813,0.00124605,0.00124605,0.00124605
4,72.2997,1.92748,1.85692,0.93127,0.37018,0.72424,0.56482,0.33306,1.45088,1.3861,0.86897,0.00104813,0.00104813,0.00104813
5,87.8214,1.84269,1.70603,0.91011,0.42853,0.79275,0.58049,0.34518,1.44841,1.37059,0.86118,0.000841835,0.000841835,0.000841835
6,103.597,1.80159,1.59697,0.90015,0.50592,0.89275,0.63267,0.38363,1.42239,1.27257,0.8504,0.000635544,0.000635544,0.000635544
7,119.024,1.82037,1.52893,0.89133,0.50492,0.90386,0.63861,0.40911,1.30886,1.2252,0.84022,0.000429253,0.000429253,0.000429253
8,134.645,1.7258,1.4941,0.88754,0.50207,0.90386,0.64441,0.40618,1.31971,1.21588,0.84204,0.000222961,0.000222961,0.000222961
