epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,94.657,1.69931,1.50981,1.11525,0.27223,0.36329,0.23925,0.10847,1.87488,1.6529,1.17592,0.000848969,0.000848969,0.000848969
43,96.6683,1.68236,1.50453,1.12469,0.2615,0.34733,0.23611,0.10327,1.94059,1.67812,1.20471,0.000834822,0.000834822,0.000834822
44,98.677,1.74514,1.48249,1.1549,0.26791,0.37754,0.22584,0.1031,1.89646,1.72689,1.19934,0.000820675,0.000820675,0.000820675
45,100.626,1.66135,1.43012,1.15255,0.29976,0.3878,0.25035,0.11276,1.89979,1.68682,1.20669,0.000806528,0.000806528,0.000806528
46,102.702,1.66615,1.4257,1.12347,0.33662,0.35262,0.27688,0.12577,1.86554,1.59639,1.18728,0.00079238,0.00079238,0.00079238
47,104.737,1.65004,1.43896,1.10921,0.25248,0.441,0.27829,0.12621,1.86408,1.59061,1.18506,0.000778233,0.000778233,0.000778233
48,107.027,1.66892,1.46206,1.13703,0.26375,0.38775,0.25301,0.11594,1.84591,1.60834,1.18543,0.000764086,0.000764086,0.000764086
49,108.988,1.64844,1.45197,1.14087,0.28886,0.38956,0.26191,0.11924,1.85931,1.60992,1.19654,0.000749939,0.000749939,0.000749939
50,111.033,1.73597,1.46402,1.14186,0.26809,0.41163,0.25374,0.11064,1.89351,1.61371,1.19637,0.000735792,0.000735792,0.000735792
51,113.092,1.6668,1.44029,1.11074,0.3422,0.30951,0.23741,0.10223,1.94086,1.6647,1.21253,0.000721645,0.000721645,0.000721645
52,115.186,1.65207,1.42819,1.1127,0.19955,0.38925,0.21591,0.09688,1.89235,1.73433,1.20402,0.000707498,0.000707498,0.000707498
53,117.266,1.64143,1.43325,1.11236,0.21757,0.40805,0.21737,0.10043,1.86892,1.74197,1.19888,0.000693351,0.000693351,0.000693351
54,119.262,1.62726,1.42614,1.12292,0.26592,0.36934,0.24047,0.11012,1.87366,1.64716,1.19511,0.000679204,0.000679204,0.000679204
55,121.354,1.7206,1.43261,1.1211,0.31334,0.38265,0.27565,0.12278,1.91062,1.60111,1.20642,0.000665057,0.000665057,0.000665057
56,123.351,1.66782,1.43283,1.11057,0.37156,0.35025,0.29245,0.12998,1.90275,1.59932,1.19593,0.000650909,0.000650909,0.000650909
57,125.375,1.60592,1.40961,1.1066,0.36019,0.36719,0.2942,0.13589,1.88717,1.64817,1.20128,0.000636762,0.000636762,0.000636762
58,127.59,1.65522,1.45115,1.133,0.32959,0.37819,0.28631,0.13025,1.89318,1.62435,1.20699,0.000622615,0.000622615,0.000622615
59,129.614,1.66703,1.40021,1.12642,0.29475,0.38236,0.25754,0.11428,1.92813,1.59426,1.20799,0.000608468,0.000608468,0.000608468
60,131.643,1.65079,1.39396,1.14092,0.24734,0.43384,0.24879,0.10919,1.89123,1.63794,1.19232,0.000594321,0.000594321,0.000594321
61,133.882,1.66994,1.4018,1.11453,0.23891,0.42638,0.2494,0.11087,1.87921,1.65177,1.1898,0.000580174,0.000580174,0.000580174
62,135.985,1.62644,1.39813,1.11384,0.28059,0.36173,0.24433,0.11332,1.85033,1.66833,1.19297,0.000566027,0.000566027,0.000566027
63,138.067,1.638,1.41717,1.10303,0.27461,0.34427,0.2359,0.10952,1.85313,1.67939,1.19636,0.00055188,0.00055188,0.00055188
64,140.08,1.64002,1.37103,1.10785,0.26662,0.38182,0.2491,0.11293,1.88421,1.64516,1.20047,0.000537733,0.000537733,0.000537733
65,142.087,1.60824,1.37321,1.11546,0.28462,0.38573,0.26378,0.12153,1.85921,1.62092,1.1879,0.000523586,0.000523586,0.000523586
66,144.17,1.62463,1.34272,1.09735,0.33332,0.35879,0.26929,0.12474,1.86041,1.60874,1.18898,0.000509438,0.000509438,0.000509438
67,146.222,1.5956,1.35596,1.0806,0.30807,0.40433,0.27175,0.1243,1.8605,1.5982,1.1916,0.000495291,0.000495291,0.000495291
68,148.18,1.59838,1.38374,1.09587,0.30407,0.41345,0.27085,0.12278,1.86045,1.5784,1.19113,0.000481144,0.000481144,0.000481144
69,150.413,1.59588,1.36607,1.10437,0.32648,0.38113,0.27602,0.12551,1.87006,1.56873,1.19383,0.000466997,0.000466997,0.000466997
70,152.409,1.58043,1.35177,1.10685,0.30234,0.40457,0.27191,0.12514,1.87269,1.56908,1.20221,0.00045285,0.00045285,0.00045285
71,154.442,1.60367,1.322,1.09731,0.27381,0.36353,0.24958,0.11404,1.8707,1.62896,1.20363,0.000438703,0.000438703,0.000438703
72,156.528,1.60178,1.31601,1.10758,0.26541,0.38057,0.2518,0.11534,1.86135,1.63972,1.1945,0.000424556,0.000424556,0.000424556
73,158.625,1.6104,1.34898,1.10124,0.28937,0.35631,0.27169,0.12434,1.86044,1.59187,1.18949,0.000410409,0.000410409,0.000410409
74,160.637,1.61307,1.37786,1.10015,0.29332,0.39863,0.2752,0.12616,1.86799,1.59053,1.19544,0.000396262,0.000396262,0.000396262
75,162.679,1.57813,1.35969,1.09724,0.31542,0.36646,0.26845,0.12371,1.85351,1.59361,1.19172,0.000382115,0.000382115,0.000382115
76,164.671,1.57899,1.36976,1.0928,0.31109,0.36562,0.25789,0.11953,1.84449,1.59401,1.18675,0.000367967,0.000367967,0.000367967
77,166.74,1.6143,1.32335,1.08475,0.28278,0.38,0.25022,0.11352,1.86355,1.60217,1.19439,0.00035382,0.00035382,0.00035382
78,168.807,1.55862,1.33515,1.09653,0.28789,0.39162,0.25625,0.11314,1.88556,1.60036,1.20248,0.000339673,0.000339673,0.000339673
79,170.895,1.64184,1.35396,1.10993,0.2939,0.39656,0.25993,0.11497,1.88199,1.59604,1.20103,0.000325526,0.000325526,0.000325526
80,172.914,1.55188,1.31679,1.10356,0.28733,0.4024,0.26674,0.11898,1.86593,1.61145,1.20011,0.000311379,0.000311379,0.000311379
81,175.367,1.62064,1.37002,1.0924,0.3041,0.35801,0.26738,0.1223,1.86405,1.63604,1.20066,0.000297232,0.000297232,0.000297232
82,177.435,1.57476,1.3203,1.09555,0.30915,0.35711,0.26664,0.12301,1.85905,1.63288,1.19135,0.000283085,0.000283085,0.000283085
83,179.556,1.55391,1.28129,1.08993,0.31628,0.35711,0.26149,0.12009,1.85601,1.62234,1.18743,0.000268938,0.000268938,0.000268938
84,181.584,1.56552,1.29945,1.09275,0.30842,0.36474,0.25765,0.11747,1.8664,1.62597,1.19504,0.000254791,0.000254791,0.000254791
85,183.618,1.57551,1.30068,1.10586,0.3117,0.35759,0.25267,0.11535,1.87009,1.63152,1.19837,0.000240644,0.000240644,0.000240644
86,185.799,1.5721,1.26736,1.0963,0.31907,0.36723,0.25852,0.11695,1.8653,1.61647,1.197,0.000226497,0.000226497,0.000226497
87,187.819,1.58888,1.35246,1.09461,0.34137,0.34865,0.2645,0.12034,1.86598,1.60433,1.1962,0.000212349,0.000212349,0.000212349
88,189.848,1.53914,1.29398,1.09785,0.33661,0.34277,0.26606,0.12113,1.86072,1.59721,1.19476,0.000198202,0.000198202,0.000198202
89,191.832,1.54747,1.28687,1.10323,0.32053,0.34324,0.26494,0.11926,1.86096,1.59663,1.19553,0.000184055,0.000184055,0.000184055
90,193.922,1.56948,1.29942,1.07532,0.29641,0.34953,0.26313,0.11806,1.86231,1.60664,1.19778,0.000169908,0.000169908,0.000169908
91,198.277,1.60342,1.61454,1.11557,0.27717,0.36788,0.25936,0.11522,1.86734,1.64711,1.19953,0.000155761,0.000155761,0.000155761
92,200.285,1.62252,1.58415,1.12891,0.27738,0.37149,0.25182,0.11307,1.86871,1.65247,1.19843,0.000141614,0.000141614,0.000141614
93,202.582,1.58502,1.46531,1.11533,0.28459,0.38175,0.25436,0.114,1.86545,1.63025,1.19553,0.000127467,0.000127467,0.000127467
94,204.552,1.57598,1.45426,1.10104,0.30111,0.3589,0.26165,0.11812,1.86016,1.62237,1.19376,0.00011332,0.00011332,0.00011332
95,206.531,1.5476,1.39754,1.1094,0.34116,0.34094,0.26568,0.12091,1.85163,1.62598,1.19318,9.91726e-05,9.91726e-05,9.91726e-05
96,208.573,1.57644,1.42857,1.09515,0.32652,0.3638,0.26553,0.12292,1.84989,1.63194,1.1939,8.50255e-05,8.50255e-05,8.50255e-05
97,210.63,1.52653,1.37978,1.10309,0.3296,0.35935,0.26568,0.12351,1.8503,1.63459,1.19627,7.08784e-05,7.08784e-05,7.08784e-05
98,212.617,1.56725,1.37641,1.10179,0.33385,0.36474,0.26643,0.12431,1.84664,1.64187,1.19561,5.67313e-05,5.67313e-05,5.67313e-05
99,214.703,1.56633,1.37207,1.10497,0.33928,0.36445,0.26392,0.12272,1.8462,1.65369,1.19588,4.25842e-05,4.25842e-05,4.25842e-05
100,216.731,1.54727,1.36058,1.08838,0.31065,0.37692,0.26066,0.11994,1.84643,1.66825,1.19456,2.84371e-05,2.84371e-05,2.84371e-05
